Dataset name	Dataset Paper ID	Gold Reference Paper (Paper Id)	Gold Reference Table (Caption Id e.g., Table 1)	Table URL	Dataset name Aliases (seperated by comma)	Type of result (separated by commas)	Additiional datasets?	Notes
labeled faces in the wild	370b5757a5379b15e30d619e4d3fb9e8e13f3256	5bef099cfd2e2534fdf5c2f2531b1002598ff533	Table 7		LFW	Accuracy		the instructions example is from paper 12
		5bef099cfd2e2534fdf5c2f2531b1002598ff533	Table 8			Accuracy		
		20e504782951e0c2979d9aec88c76334f7505393	Table I			Error rates		
inria holidays	6fc9abc88ae86550f02e06cd9e07712887f52b21	3aa5052f1b35833f8ee054936847bb9f9e612a85	Table 2		Holidays, Hol.	mAP		
		3aa5052f1b35833f8ee054936847bb9f9e612a85	Table 4			mAP	Oxford5k	
		3aa5052f1b35833f8ee054936847bb9f9e612a85	Table 6			mAP	Oxford5k; Oxford105k; Holidaya+F11M	
actions as space-time shapes	183a697bdea9cdc9cec21267ddbf6ab2eb118258	-						Went through 10 papers, no good tables
		-						
		-						
bionlp shared task	15182c6e680c7543f445bbe8de449afa912eacd4	a718eb7da205fd86c80e5a04d86b558695497b23	Table 1		BioNLP-ST 2011 Genia Event 			Statistics of BioNLP?
		ce402833c37ece3493ad6bd23df8cd19a2816c0f	Table 2			F1 Score, Precision, Recall		
		034152e831aec8c75e5f48704c0e84a84885b7b2	Table 2			F1 Score, Precision, Recall		
ppdb	9ae62a9f18d2e29d2ad9b08e3418d6fd083d27d5	-						
		-						
		-						
msrc-12 kinect gesture	dbc7c45f86f11125fc4689e3f019485354f8e505	54c280cb98c6676cf1f79353ed417e01a2364440	Table 6	https://www.semanticscholar.org/paper/Laban-movement-analysis-and-hidden-Markov-models-f-Truong-Zaharia/54c280cb98c6676cf1f79353ed417e01a2364440/figure/11	MSRC-Kinect 12	recognition rates		
		144b1f28c635a719ea9b1d3f6f832164453fabc9	Table III	https://www.semanticscholar.org/paper/Revisiting-Human-Action-Recognition%3A-Personalizati-Zunino-Cavazza/144b1f28c635a719ea9b1d3f6f832164453fabc9/figure/2				
		c1cb3daa2c7d96fc876d6b96265e443773e697aa	Table 7	https://www.semanticscholar.org/paper/Three-Dimensional%2C-Kinematic%2C-Human-Behavioral-Pat-Patwardhan/c1cb3daa2c7d96fc876d6b96265e443773e697aa/figure/12				
multi-view stereo (vision middlebury)	96f1985b0fe11bab8c80465b78a4e32d9da24803	3ed3065b7087012f6341a9769a3b56adb3fb0102	Table I	https://www.semanticscholar.org/paper/Adaptive-edge-based-stereo-block-matching-algorith-Janeczek-Skulimowski/3ed3065b7087012f6341a9769a3b56adb3fb0102/figure/6	Middlebury benchmark, Middlebury dataset, Middlebury stereo dataset	Time/MPix, MSE, Occlusion, Density		
		9bc1abc2abfb21616a5c4b1d979f2b1b73d876e2	Table 3	https://www.semanticscholar.org/paper/Efficient-Stereo-Matching-Leveraging-Deep-Local-an-Ye-Li/9bc1abc2abfb21616a5c4b1d979f2b1b73d876e2/figure/5		average error		
		9bc1abc2abfb21616a5c4b1d979f2b1b73d876e2	Table 2	https://www.semanticscholar.org/paper/Efficient-Stereo-Matching-Leveraging-Deep-Local-an-Ye-Li/9bc1abc2abfb21616a5c4b1d979f2b1b73d876e2/figure/3		average error percentage		
ford campus vision and lidar	4085121ebed061fd53e332cc4371395b6b72510e	920486d96ce8aec835368fe71bfd5acdc944ff0c	Table 1	https://www.semanticscholar.org/paper/Multi-Channel-Generalized-ICP%3A-A-robust-framework-Servos-Waslander/920486d96ce8aec835368fe71bfd5acdc944ff0c/figure/1	ford dataset, LiDAR models, ford campus	translation errors; rotation errors		
		ce36c55c667d0cd750591a6a0824e27c19c7110d	Table 2	https://www.semanticscholar.org/paper/Robust-Shape-Registration-using-Fuzzy-Corresponden-Kolagunda-Sorensen/ce36c55c667d0cd750591a6a0824e27c19c7110d/figure/3		mean dist, max dist		
		09d08e543a9b2fc350cb37e47eb087935c12be16	Table I	https://www.semanticscholar.org/paper/A-Multimodal%2C-Full-Surround-Vehicular-Testbed-for-Rangesh-Yuen/09d08e543a9b2fc350cb37e47eb087935c12be16/figure/7				
segmentation evaluation	ada48e5f8b0b702d95e61f253f26009230e84f91	-	-	-	-		only 7 results	
		-	-	-	-			
		-	-	-	-			
caltech 101 silhouettes	832553365fbaf2ebd35f15b206bfa4b2b2f2422f	778bd275291971680de836e4b638ad1662fcc95e	Table 1	https://www.semanticscholar.org/paper/VAE-with-a-VampPrior-Tomczak-Welling/778bd275291971680de836e4b638ad1662fcc95e/figure/0		test log likelihood		
		f588417edee4b5c214d7c571cf364158251d4cd7	Table IV	https://www.semanticscholar.org/paper/Learning-Deep-Generative-Models-With-Doubly-Stocha-Du-Zhu/f588417edee4b5c214d7c571cf364158251d4cd7/figure/7		est. test LL. 		
		f588417edee4b5c214d7c571cf364158251d4cd7	Table VII	https://www.semanticscholar.org/paper/Learning-Deep-Generative-Models-With-Doubly-Stocha-Du-Zhu/f588417edee4b5c214d7c571cf364158251d4cd7/figure/10		average running time		
oxford reconstruction	ebe4e33e4a05b629579214c42046bb05edbbed6f	-	-	-	-		404 not found	
		-	-	-	-			
		-	-	-	-			
cora citation matching	55d8972aaf8dd16055b7afd0ba16a9601cbf97eb	cec1a35d91a9ddef8dd47c2c62b4c380c23857ae	Table 2	https://www.semanticscholar.org/paper/Holistic-Query-Evaluation-over-Information-Extract-Ioannou-Garofalakis/cec1a35d91a9ddef8dd47c2c62b4c380c23857ae/figure/2	cora	statistics?		
		-	-	-	-			
		-	-	-	-			
framenet project	547f23597f9ec8a93f66cedaa6fbfb73960426b1	15969dd8da470161ced6c6e65383feb8ecf2837d	Table 3.3	https://www.semanticscholar.org/paper/Automatic-Population-of-Structured-Knowledge-Bases-Fossati/15969dd8da470161ced6c6e65383feb8ecf2837d/figure/7		FE instances		
		-	-	-	-	-		
		-	-	-	-	-		
nombank	a48affd9a3bf680e810a0c0b9aa37d419a4cb09c	01a5f4cd979da8b7583d6667722810ee2b122063	Table 5	https://www.semanticscholar.org/paper/A-Dataset-for-Joint-Noun-Noun-Compound-Bracketing-Fares/01a5f4cd979da8b7583d6667722810ee2b122063/figure/4		correlation		
		3b0c9c9bd73ef4e7ef3c91572950ab5265d73f24	Table 1	https://www.semanticscholar.org/paper/Domain-adaptation-for-semantic-role-labeling-of-cl-Zhang-Tang/3b0c9c9bd73ef4e7ef3c91572950ab5265d73f24/figure/1		statistics?		
		3b0c9c9bd73ef4e7ef3c91572950ab5265d73f24	Table 2	https://www.semanticscholar.org/paper/Domain-adaptation-for-semantic-role-labeling-of-cl-Zhang-Tang/3b0c9c9bd73ef4e7ef3c91572950ab5265d73f24/figure/3		performance		
ollie	8ad0e78a9619c50bcb3cae4a589ec9a5d38c437c	c847b2c974d0bcd4a3d5a15b6e85473aa144b0cb	Table 1	https://www.semanticscholar.org/paper/J-REED%3A-Joint-Relation-Extraction-and-Entity-Disam-Nguyen-Theobald/c847b2c974d0bcd4a3d5a15b6e85473aa144b0cb/figure/0		precision		
		c847b2c974d0bcd4a3d5a15b6e85473aa144b0cb	Table 4	https://www.semanticscholar.org/paper/J-REED%3A-Joint-Relation-Extraction-and-Entity-Disam-Nguyen-Theobald/c847b2c974d0bcd4a3d5a15b6e85473aa144b0cb/figure/3	OLLIE-spotlight, OLLIE-babelfy	precision		
		-	-	-	-			
bmp image sequences for elliptical head tracking	4f3d1c12aeb188cf74e323f16404035d336fa658	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
test images for wallflower paper	f69c6ccf6246f95d33eca1d02a2c9519d1d79f0e	c7284c31adab9696b089862ca9eecd28c04a00bf	table 3	https://www.semanticscholar.org/paper/A-Background-Modeling-and-Foreground-Detection-Alg-Romero-Lado/c7284c31adab9696b089862ca9eecd28c04a00bf/figure/6	wallflower dataset, wallflower data-set	F measure		
		fdbca6bc9c4a1c76b4442571b4c0a53b465d9f7c	table 4	https://www.semanticscholar.org/paper/A-Deep-Convolutional-Neural-Network-for-Background-Babaee-Dinh/fdbca6bc9c4a1c76b4442571b4c0a53b465d9f7c/figure/5		number of frames, groundtruth frame number		
		fdbca6bc9c4a1c76b4442571b4c0a53b465d9f7c	table 7	https://www.semanticscholar.org/paper/A-Deep-Convolutional-Neural-Network-for-Background-Babaee-Dinh/fdbca6bc9c4a1c76b4442571b4c0a53b465d9f7c/figure/12		F measures		
umass pomdp problems	a8a38a801b92e136fc63eeb3e9c770927239d52c	cecaba807e7d6cac1909046f95bb06decb7da957	table 2	https://www.semanticscholar.org/paper/Can-bounded-and-self-interested-agents-be-teammate-Chandrasekaran-Doshi/cecaba807e7d6cac1909046f95bb06decb7da957/figure/3		traditional I-DID, augmented I-DID, GMAA*-ICE		
		22f8ccac763d1b0ef33ccfd424894786c3112bcf	table 1	https://www.semanticscholar.org/paper/Incremental-Policy-Iteration-with-Guaranteed-Escap-Grzes-Poupart/22f8ccac763d1b0ef33ccfd424894786c3112bcf/figure/0		nodes, time, V		
		22f8ccac763d1b0ef33ccfd424894786c3112bcf	table 2	https://www.semanticscholar.org/paper/Incremental-Policy-Iteration-with-Guaranteed-Escap-Grzes-Poupart/22f8ccac763d1b0ef33ccfd424894786c3112bcf/figure/2		nodes, time, V		
open question answering	8e95526a02d6ddbadd11612baed19c78f504915b	0e068fcb42399385a3307c8de2a5c40bab967d79	table 3	https://www.semanticscholar.org/paper/Reading-Wikipedia-to-Answer-Open-Domain-Questions-Chen-Fisch/0e068fcb42399385a3307c8de2a5c40bab967d79/figure/3	open-domain QA	% of questions		
		0e068fcb42399385a3307c8de2a5c40bab967d79	table 4	https://www.semanticscholar.org/paper/Reading-Wikipedia-to-Answer-Open-Domain-Questions-Chen-Fisch/0e068fcb42399385a3307c8de2a5c40bab967d79/figure/4		EM, F1	SQuAD open question answering	
		-	-	-	-	-		
pascal3d+	1c2c978faad6f27e05cf9e3fca509132ace8fae4	2c7e4d38cdb3357a2fc4d4b2e183074c6a679478	table 5	https://www.semanticscholar.org/paper/Deep-Supervision-with-Intermediate-Concepts-Li-Zia/2c7e4d38cdb3357a2fc4d4b2e183074c6a679478/figure/9		accuracy		
		2e3cc63d71b136409c934a19404f8d8b54c0267f	table 1	https://www.semanticscholar.org/paper/Joint-Object-Category-and-3D-Pose-Estimation-from-Mahendran-Ali/2e3cc63d71b136409c934a19404f8d8b54c0267f/figure/1		number of images		
		13f567e574609e49df257c45f134a992a3eb57a0	table 1	https://www.semanticscholar.org/paper/Click-Here%3A-Human-Localized-Keypoints-as-Guidance-Szeto-Corso/13f567e574609e49df257c45f134a992a3eb57a0/figure/1		performance 		
semantic boundaries	dffb466c1f44ad1850d2bdaa2c2a960ca6f11ec9	002e15c1db22202cc46bc2f19908f5b2dd453513	table 2	https://www.semanticscholar.org/paper/Convolutional-Random-Walk-Networks-for-Semantic-Im-Bertasius-Torresani/002e15c1db22202cc46bc2f19908f5b2dd453513/figure/3	SBD, SE-BSDS, HED-BSDS, DSBD, M-DSBD, BSDS500	performance 		
		91bb3680cee8cd37b80e07644f66f9cccf1b1aff	table 1	https://www.semanticscholar.org/paper/PASCAL-Boundaries%3A-A-Semantic-Boundary-Dataset-wit-Premachandran-Bonev/91bb3680cee8cd37b80e07644f66f9cccf1b1aff/figure/1		performance? 		
		91bb3680cee8cd37b80e07644f66f9cccf1b1aff	table 2	https://www.semanticscholar.org/paper/PASCAL-Boundaries%3A-A-Semantic-Boundary-Dataset-wit-Premachandran-Bonev/91bb3680cee8cd37b80e07644f66f9cccf1b1aff/figure/3		model transfers		
		91bb3680cee8cd37b80e07644f66f9cccf1b1aff	table 3	https://www.semanticscholar.org/paper/PASCAL-Boundaries%3A-A-Semantic-Boundary-Dataset-wit-Premachandran-Bonev/91bb3680cee8cd37b80e07644f66f9cccf1b1aff/figure/5		ODS, OI, AP		
subjectivity sense annotations	ee6e99ad8f37383549e29a61aba6532f93dcc7d2	-	-	-	MPQA? other aliases?			
		-	-	-	-			
		-	-	-	-			
20 newsgroups	bff8252c3d7a2557e8a4bbbc94079d23c7c8d9fd	404 not found?	-	-	-			
		-	-	-	-			
		-	-	-	-			
knext	ca4068cb750874a4c7815158d87d064b4eebc0f4	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
penn treebank	b6cb2a910294a8c0f8dd2ed212ec36c1721ea8bc	-	-	-	PTB			
		-	-	-	-			
		-	-	-	-			
msr action recognition	bf188f31d29b01b923c3595935340ddfce467b50	9d42aaf0f8a26bc2aae24cd327684e9dc1c818b8	table 2	https://www.semanticscholar.org/paper/3D-human-action-recognition-based-on-the-Spatial-T-Yao-Jiang/9d42aaf0f8a26bc2aae24cd327684e9dc1c818b8/figure/3	MSR-Action3D dataset, MSR daily activity 3d, MSRdaily act. 3D, MSRDA, MSRAActionPairs Dataset	recognition rates		
		9d42aaf0f8a26bc2aae24cd327684e9dc1c818b8	table 4	https://www.semanticscholar.org/paper/3D-human-action-recognition-based-on-the-Spatial-T-Yao-Jiang/9d42aaf0f8a26bc2aae24cd327684e9dc1c818b8/figure/6		recognition rates		
		4b03327188bd8cf0fcaa3fc451565e7153d01964	table 3	https://www.semanticscholar.org/paper/Action-Recognition-from-RGB-D-Data%3A-Comparison-and-Asadi-Aghbolaghi-Bertiche/4b03327188bd8cf0fcaa3fc451565e7153d01964/figure/3		accuracy		
		4b03327188bd8cf0fcaa3fc451565e7153d01964	table 6	https://www.semanticscholar.org/paper/Action-Recognition-from-RGB-D-Data%3A-Comparison-and-Asadi-Aghbolaghi-Bertiche/4b03327188bd8cf0fcaa3fc451565e7153d01964/figure/8		accuracy		
		7f244bf47640fb485021f62cb602261035cd691c	table 1	https://www.semanticscholar.org/paper/Action-recognition-by-learning-pose-representation-Saggese-Strisciuglio/7f244bf47640fb485021f62cb602261035cd691c/figure/1		recognition rate, error rate, miss rate		
		7f244bf47640fb485021f62cb602261035cd691c	table 2 	https://www.semanticscholar.org/paper/Action-recognition-by-learning-pose-representation-Saggese-Strisciuglio/7f244bf47640fb485021f62cb602261035cd691c/figure/3		accuracy		
		a9f643dcd542547a5592cfa9ca55a739e19a7bba	table IV	https://www.semanticscholar.org/paper/A-Temporal-Order-Modeling-Approach-to-Human-Action-Ye-Hu/a9f643dcd542547a5592cfa9ca55a739e19a7bba/figure/13		accuracy		
		a9f643dcd542547a5592cfa9ca55a739e19a7bba	table V	https://www.semanticscholar.org/paper/A-Temporal-Order-Modeling-Approach-to-Human-Action-Ye-Hu/a9f643dcd542547a5592cfa9ca55a739e19a7bba/figure/14		execution time		
the joint student response analysis and 8th recognizing textual entailment challenge	a628d782e39ef5ce2d546b36d386abc9e5a5e064	-						
		-						
		-						
tac 2008 rte track (rte-4)	351ec42df2b60c6042addf96e6b98673bbaf4dfd	4546b7207e1a87c205bdf45c70f7b06fb3c38e21	table 5	https://www.semanticscholar.org/paper/Inference-is-Everything%3A-Recasting-Semantic-Resour-White-Rastogi/4546b7207e1a87c205bdf45c70f7b06fb3c38e21/figure/5	RTE-3 dev., RTE4	accuracy		
		deefa972eed2e039cc103b3ed74566a02f3da158	table 6	https://www.semanticscholar.org/paper/Knowledge-Based-Textual-Inference-via-Parse-Tree-T-Bar-Haim-Dagan/deefa972eed2e039cc103b3ed74566a02f3da158/figure/11		node count		
		deefa972eed2e039cc103b3ed74566a02f3da158	table 7	https://www.semanticscholar.org/paper/Knowledge-Based-Textual-Inference-via-Parse-Tree-T-Bar-Haim-Dagan/deefa972eed2e039cc103b3ed74566a02f3da158/figure/13		accuracy		
		deefa972eed2e039cc103b3ed74566a02f3da158	table 8	https://www.semanticscholar.org/paper/Knowledge-Based-Textual-Inference-via-Parse-Tree-T-Bar-Haim-Dagan/deefa972eed2e039cc103b3ed74566a02f3da158/figure/14		accuracy		
		deefa972eed2e039cc103b3ed74566a02f3da158	table 9	https://www.semanticscholar.org/paper/Knowledge-Based-Textual-Inference-via-Parse-Tree-T-Bar-Haim-Dagan/deefa972eed2e039cc103b3ed74566a02f3da158/figure/15		average number of rules		
		deefa972eed2e039cc103b3ed74566a02f3da158	table 10	https://www.semanticscholar.org/paper/Knowledge-Based-Textual-Inference-via-Parse-Tree-T-Bar-Haim-Dagan/deefa972eed2e039cc103b3ed74566a02f3da158/figure/16		accuracy		
